timestamp,wind_speed,wind_dir,temp,pressure,RH,gusts,dew_pt,precip,terrain,power
1/1/2024 0:00,11.41,305,29.8,1031.2,47,7.22,12.5,1.15,forest,438.6 kWh
1/1/2024 3:00,8,74,28.9,1018.9,60,6.92,17.5,1.27,forest,179.74 kWh
1/1/2024 6:00,9.45,264,33.7,1012.7,35,9.76,21,3.27,urban,360.67 kWh
1/1/2024 9:00,12.6,83,29.1,1007.6,77,6.59,26.7,0.46,forest,523.29 kWh
1/1/2024 12:00,11.67,134,28.2,1022.5,86,10.55,21.2,0.75,open,747.84 kWh
1/1/2024 15:00,4.56,212,14.4,1018.2,31,7.08,18.1,0.56,forest,38.62 kWh
1/1/2024 18:00,9.38,265,34.4,1020.9,44,6.38,15.8,0.47,forest,260.31 kWh
1/1/2024 21:00,6.62,6,23.6,1001.5,76,8.35,16.4,1.95,forest,117.32 kWh
1/2/2024 0:00,6.74,244,19.6,1007.2,87,8.36,19.7,0.22,forest,124.02 kWh
1/2/2024 3:00,8.03,62,20.8,995.1,30,10.57,16.1,4.32,forest,218.62 kWh
1/2/2024 6:00,7.36,357,38.1,1018,63,8.76,19.2,0.28,open,207.49 kWh
1/2/2024 9:00,10.64,138,14.7,1002,33,8.5,18.4,0.03,urban,455.95 kWh
1/2/2024 12:00,8.9,19,16.2,1004.7,72,6.45,18.7,2.71,open,308.3 kWh
1/2/2024 15:00,7.3,53,16,1017.4,50,4.93,20.9,4.89,urban,144.84 kWh
1/2/2024 18:00,8.11,150,29.7,1003.1,57,8.62,22.1,0.27,forest,202.89 kWh
1/2/2024 21:00,7.83,134,29.8,990.5,36,8.7,23.1,0.2,urban,210.29 kWh
1/3/2024 0:00,10.74,130,25.4,1010.3,57,6.59,11.6,1.15,urban,416.16 kWh
1/3/2024 3:00,6.49,134,35.5,1018.7,77,9.17,25.4,0.58,open,149.72 kWh
1/3/2024 6:00,7.78,237,18.3,1011.2,46,8.86,16.2,0.59,forest,185.72 kWh
1/3/2024 9:00,4.86,75,7,1026.8,72,8.46,19.9,2.04,open,63.12 kWh
1/3/2024 12:00,0.62,79,15.3,999.2,79,5.28,17.3,2.77,open,0.0 kWh
1/3/2024 15:00,8.63,94,27.1,1004.2,44,9.6,14.1,0.19,open,334.72 kWh
1/3/2024 18:00,9.16,249,30.1,991.1,53,8.14,9.8,0.84,urban,307.54 kWh
1/3/2024 21:00,5.14,18,21,1000.4,31,9.17,21.6,0.02,forest,60.91 kWh
1/4/2024 0:00,12.67,330,23.6,1014.9,51,11.37,24.4,0.72,urban,807.36 kWh
1/4/2024 3:00,3.36,107,15.4,999.6,74,9.27,15.9,2.47,open,22.78 kWh
1/4/2024 6:00,7.11,306,30,1018.5,80,7.37,15.9,0.44,urban,152.16 kWh
1/4/2024 9:00,6.53,151,26.2,1028.4,52,4.98,6.1,1.35,open,126.72 kWh
1/4/2024 12:00,10.83,293,22.9,1022.5,72,7.73,10.4,0.05,forest,401.96 kWh
1/4/2024 15:00,10.67,289,33.3,1012.3,36,4.57,19.9,1.92,forest,314.52 kWh
1/4/2024 18:00,7.39,336,22.3,998.9,67,6.73,14,0.73,open,194.47 kWh
1/4/2024 21:00,7.95,103,24.8,1015.4,41,6.31,19.6,0.54,urban,194.91 kWh
1/5/2024 0:00,4.78,305,35.2,1015.9,83,9.15,16.4,1.68,forest,45.74 kWh
1/5/2024 3:00,2.05,268,24.9,1015.6,54,11.19,14.3,1.07,forest,3.1 kWh
1/5/2024 6:00,6.13,164,32.3,1020.9,79,9.08,18.7,0.56,forest,95.95 kWh
1/5/2024 9:00,7.39,224,27.2,1037,57,8.88,18.5,2.22,open,214.5 kWh
1/5/2024 12:00,10.08,325,35,1007.7,63,9.44,16.4,0.03,open,491.35 kWh
1/5/2024 15:00,10.01,114,21.3,1016.9,34,7.98,17.5,4.26,urban,382.71 kWh
1/5/2024 18:00,6.03,18,29.4,1008.9,77,9.98,18.5,0.78,open,127.9 kWh
1/5/2024 21:00,6.24,225,33.7,1005.2,41,7.47,17.7,0.4,forest,93.45 kWh
1/6/2024 0:00,4.38,246,21.2,1024.6,37,8.62,19.8,4.82,forest,37.86 kWh
1/6/2024 3:00,3.45,32,10.4,1017.6,60,6.04,14.3,1.9,open,19.94 kWh
1/6/2024 6:00,2.73,319,23.1,1016.5,87,7.81,15.2,2.67,forest,8.69 kWh
1/6/2024 9:00,11.88,215,22.5,1008.4,76,8.79,22.3,0.34,urban,601.95 kWh
1/6/2024 12:00,5.73,278,21.5,1004.5,42,11.42,23.1,3.45,open,120.25 kWh
1/6/2024 15:00,5.9,161,27.3,1015.3,58,7.53,16.7,1.13,urban,92.39 kWh
1/6/2024 18:00,3.87,228,13.5,1003.3,55,8.38,15.9,0.59,urban,28.16 kWh
1/6/2024 21:00,8.94,27,28,1030.4,86,11.38,17.4,0.03,open,398.15 kWh
1/7/2024 0:00,2.97,246,28.6,1015.5,89,7.01,15.1,1.44,forest,9.48 kWh
1/7/2024 3:00,6.47,304,19.8,1013.6,72,8.27,18.4,3.66,open,147.54 kWh
1/7/2024 6:00,4.76,124,19.1,1004.4,89,7.49,9.1,0.49,open,60.98 kWh
1/7/2024 9:00,7.97,12,30.6,1014,83,8.74,15.5,2.04,open,259.57 kWh
1/7/2024 12:00,5.72,341,24.4,1001.2,31,8.83,15,1.48,urban,90.61 kWh
1/7/2024 15:00,4.05,137,38.1,1010.3,50,10.43,11.1,0.45,open,36.65 kWh
1/7/2024 18:00,6.93,2,29.4,1026,64,10.51,17.4,2,forest,144.65 kWh
1/7/2024 21:00,8.07,228,33.5,1008,86,8.39,20.2,0.91,forest,197.15 kWh
1/8/2024 0:00,7.17,298,33.2,1014.4,86,8.77,16.6,3.73,urban,165.55 kWh
1/8/2024 3:00,7.76,79,29.7,1025.3,69,9.82,18.9,0.25,open,254.5 kWh
1/8/2024 6:00,5.41,113,21.2,1023.8,37,6.41,20.9,0.09,forest,62.06 kWh
1/8/2024 9:00,6.09,186,17.4,1024.3,50,6.47,17.6,0.26,open,114.28 kWh
1/8/2024 12:00,5.32,299,11.6,992.7,60,6.82,15.7,0.43,urban,66.49 kWh
1/8/2024 15:00,6.1,246,22.4,1018.5,85,7.69,26.7,0.31,urban,103.48 kWh
1/8/2024 18:00,4.97,219,30.7,1018.8,43,7.96,14,0.81,open,66.87 kWh
1/8/2024 21:00,2.68,272,19.4,1024.1,43,9.87,14.7,0.05,urban,10.91 kWh
1/9/2024 0:00,7.44,121,17.5,1013.3,76,10.88,11.9,0.8,urban,204.39 kWh
1/9/2024 3:00,6,297,30.5,1006.9,55,6.18,22.7,0.99,urban,89.92 kWh
1/9/2024 6:00,2.92,67,26.4,1012.4,74,7.03,15,0.98,open,12.69 kWh
1/9/2024 9:00,8.16,71,21.4,997.5,62,7.89,14.6,0.05,forest,200.69 kWh
1/9/2024 12:00,4.73,348,26.6,1012.5,30,6.93,17.7,2.82,urban,48.05 kWh
1/9/2024 15:00,7.13,186,25.1,1014.1,46,3.7,17.3,1.28,urban,126.55 kWh
1/9/2024 18:00,8.82,27,21.3,1024,52,5.86,18,2.06,forest,218.97 kWh
1/9/2024 21:00,7.32,262,26.2,1034.3,50,8.81,19.2,0.97,open,208.72 kWh
1/10/2024 0:00,9.85,39,28.2,1009.4,76,12.4,14.2,0.05,forest,401.99 kWh
1/10/2024 3:00,3.91,239,23.7,1016.2,51,8.22,25.2,0.1,urban,29.73 kWh
1/10/2024 6:00,8.01,255,22.1,1014.6,59,9.24,16.2,0.03,forest,204.07 kWh
1/10/2024 9:00,5.29,203,21.3,1016.2,88,6.03,8.2,4.43,open,76.35 kWh
1/10/2024 12:00,4.82,170,16.8,1012.4,34,9.52,13,2.04,forest,50.97 kWh
1/10/2024 15:00,5.55,104,14.5,1007.4,35,6.29,16.1,0.03,open,86.93 kWh
1/10/2024 18:00,6.22,355,33,1025.3,82,8.56,15.1,4.68,urban,110.54 kWh
1/10/2024 21:00,7.14,156,18.8,1028.2,54,9.56,16.5,2.32,open,203.62 kWh
1/11/2024 0:00,4.09,175,20.7,1012.4,30,7.94,22.1,0.67,forest,30.41 kWh
1/11/2024 3:00,9.25,337,23.2,1008.8,47,8.28,15.6,2.32,open,375.62 kWh
1/11/2024 6:00,8.16,77,20.9,1014.4,40,8.98,20.7,1.33,urban,240.15 kWh
1/11/2024 9:00,3.16,121,21.9,1008.6,75,5.21,15,1.72,open,16.77 kWh
1/11/2024 12:00,10.72,342,27.7,1008.6,30,8.41,13.2,4.84,open,542.78 kWh
1/11/2024 15:00,11.74,314,23.8,1018.8,77,3.06,18.1,2.34,open,457.28 kWh
1/11/2024 18:00,9.95,194,26.7,1018.1,38,9.1,21.1,0.03,forest,352.26 kWh
1/11/2024 21:00,6.55,306,26,1012.4,76,5.67,19.3,0.58,forest,99.45 kWh
1/12/2024 0:00,4.32,277,13.3,1025.6,57,7.53,19.3,0,urban,37.78 kWh
1/12/2024 3:00,9.64,114,25.1,1008.1,36,9.4,17.5,0.57,open,441.03 kWh
1/12/2024 6:00,5.99,324,26,1003.6,35,6.51,14.5,1.95,forest,81.31 kWh
1/12/2024 9:00,10.06,236,23.6,999.4,86,8.4,15.8,0.52,forest,349.36 kWh
1/12/2024 12:00,7.52,259,20.1,1018.2,74,11.55,15.8,1.43,open,255.44 kWh
1/12/2024 15:00,9.44,132,27.7,1031.3,78,9.1,17.7,0.96,urban,349.52 kWh
1/12/2024 18:00,7.89,25,26,1026.2,44,5.35,20.4,1.81,forest,159.62 kWh
1/12/2024 21:00,8.77,55,33.4,1025.2,35,8.64,16.6,1.9,urban,281.42 kWh
1/13/2024 0:00,7.03,107,34.8,1025.4,47,7.41,19.7,0.95,urban,146.62 kWh
1/13/2024 3:00,11.46,282,25.2,1027.6,40,9.65,20.4,10.53,urban,580.56 kWh
1/13/2024 6:00,7.32,190,25.5,1004.2,45,6.44,17.3,0.03,urban,158.02 kWh
1/13/2024 9:00,8,301,31,1021.7,54,5.88,16.1,1.63,open,225.91 kWh
1/13/2024 12:00,11.71,346,18.3,1013,33,9.63,15.9,0.76,open,718.91 kWh
1/13/2024 15:00,3.63,86,26.3,998.1,88,8.87,16.8,0.39,forest,20.85 kWh
